
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     21.983u      0.000s      3.316w      1 calls
JK: (A|Q)^-1/2                      :      2.750u      0.067s      0.436w      1 calls
JK: (Q|mn)                          :     11.800u      0.017s      1.775w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.100w      3 calls
HF: Form S/X                        :      1.117u      0.033s      0.174w      3 calls
HF: Guess                           :     13.717u      0.333s      2.108w      3 calls
SAD Guess                           :     13.467u      0.333s      2.072w      3 calls
HF: Form G                          :    170.983u      1.133s     25.863w     37 calls
JK: D                               :      0.050u      0.000s      0.010w     37 calls
JK: USO2AO                          :      0.033u      0.000s      0.010w     37 calls
JK: JK                              :    170.683u      1.133s     25.821w     37 calls
JK: J                               :     11.983u      0.083s      1.810w     37 calls
JK: J1                              :      5.850u      0.050s      0.889w     37 calls
JK: J2                              :      5.867u      0.033s      0.879w     37 calls
JK: K                               :    155.233u      0.067s     23.333w     37 calls
JK: K1                              :    138.317u      0.033s     20.796w     37 calls
JK: K2                              :     16.850u      0.033s      2.532w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.117u      0.000s      0.011w     37 calls
HF: Form D                          :      0.017u      0.017s      0.010w     37 calls
HF: DIIS                            :      3.750u      0.367s      0.628w     34 calls
DIISManager::add_entry              :      0.383u      0.150s      0.092w     34 calls
DIISManager::extrapolate            :      1.050u      0.217s      0.198w     34 calls
bMatrix setup                       :      0.483u      0.167s      0.101w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.550u      0.050s      0.094w     34 calls
HF: Form C                          :     12.850u      0.117s      1.943w     34 calls
DF Integrals                        :    306.500u     21.233s     55.333w      1 calls
Omega Integrals                     :      3.150u      1.933s      1.522w      1 calls
Amplitudes                          :    688.317u     15.300s    112.709w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.002w      1 calls
Exch10                              :      0.083u      0.000s      0.015w      1 calls
Ind20,r                             :     46.583u      1.117s      7.165w      1 calls
Exch-Ind20,r                        :      1.183u      0.217s      0.208w      1 calls
Disp20                              :      3.083u      0.150s      0.487w      1 calls
Exch-Disp20                         :     40.233u      0.667s      6.189w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.517u      0.100s      0.092w      1 calls
Exch12                              :    275.250u     10.083s     46.032w      1 calls
Ind22                               :     35.767u      6.650s      8.660w      1 calls
Disp21                              :      1.600u      0.383s      0.300w      1 calls
Disp22 (SDQ)                        :     72.283u      4.083s     12.242w      1 calls
Disp22 (T)                          :   3820.500u     22.300s    577.290w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     21.983u      0.000s      3.316w      1 calls
JK: (A|Q)^-1/2                      :      2.750u      0.067s      0.436w      1 calls
JK: (Q|mn)                          :     11.800u      0.017s      1.775w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.100w      3 calls
HF: Form S/X                        :      1.117u      0.033s      0.174w      3 calls
HF: Guess                           :     13.717u      0.333s      2.108w      3 calls
| SAD Guess                         :     13.467u      0.333s      2.072w      3 calls
HF: Form G                          :    170.983u      1.133s     25.863w     37 calls
| JK: D                             :      0.050u      0.000s      0.010w     37 calls
| JK: USO2AO                        :      0.033u      0.000s      0.010w     37 calls
| JK: JK                            :    170.683u      1.133s     25.821w     37 calls
| | JK: J                           :     11.983u      0.083s      1.810w     37 calls
| | | JK: J1                        :      5.850u      0.050s      0.889w     37 calls
| | | JK: J2                        :      5.867u      0.033s      0.879w     37 calls
| | JK: K                           :    155.233u      0.067s     23.333w     37 calls
| | | JK: K1                        :    138.317u      0.033s     20.796w     37 calls
| | | JK: K2                        :     16.850u      0.033s      2.532w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.117u      0.000s      0.011w     37 calls
HF: Form D                          :      0.017u      0.017s      0.010w     37 calls
HF: DIIS                            :      3.750u      0.367s      0.628w     34 calls
| DIISManager::add_entry            :      0.383u      0.150s      0.092w     34 calls
| DIISManager::extrapolate          :      1.050u      0.217s      0.198w     34 calls
| | bMatrix setup                   :      0.483u      0.167s      0.101w     34 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     34 calls
| | New vector                      :      0.550u      0.050s      0.094w     34 calls
HF: Form C                          :     12.850u      0.117s      1.943w     34 calls
DF Integrals                        :    306.500u     21.233s     55.333w      1 calls
Omega Integrals                     :      3.150u      1.933s      1.522w      1 calls
